customer_id,age,region,segment,salary,account_type,credit_history_depth,loan_amount,interest_income,fees_income,operational_cost,default_status,transaction_volume,digital_channel_usage,monthly_profit,risk_score
1,56,Central,Retail,2416816.39,Business,7,866232.87,43206.35,13650.16,23523.99,0,436,0.18,-1467.06,0.43
2,69,South,Retail,1914542.59,Savings,8,444183.95,59969.14,299.4,4922.75,0,504,0.86,5672.96,0.5
3,46,South,Corporate,2379393.13,Savings,19,137052.8,58205.04,2467.83,11940.65,0,151,0.39,31088.23,0.9
4,32,South,Corporate,1771224.23,Savings,16,862211.42,50389.79,1449.87,14853.13,0,485,0.0,42020.91,0.26
5,60,South,Retail,780227.91,Savings,7,816092.35,28783.15,18164.4,3579.16,0,439,0.27,8897.38,0.87
6,25,South,SME,308144.06,Business,9,983906.36,32464.97,2118.38,12759.56,0,523,0.6,12995.54,0.64
7,38,South,Retail,1965468.47,Savings,13,909743.69,77635.08,17939.68,9700.1,0,73,0.8,24541.64,0.02
8,56,South,Retail,1628165.59,Savings,1,851790.34,8990.87,6315.66,1356.79,0,190,0.13,6636.5,0.72
9,36,South,Retail,168055.73,Current,8,52574.4,21480.39,21955.05,4361.04,0,208,0.11,39613.59,0.04
10,40,North,SME,932123.64,Savings,4,104415.37,39392.14,20347.43,22991.89,0,558,0.92,37550.02,1.0
11,28,Central,Retail,2394159.55,Savings,3,568983.19,66938.37,23949.97,835.73,0,17,0.75,2991.04,0.87
12,28,Central,SME,1275982.81,Savings,3,531479.25,13094.05,22105.67,28047.32,0,278,0.59,20510.64,0.3
13,41,Central,SME,1110186.38,Current,13,457963.21,22156.37,23339.9,2866.81,0,302,0.77,37615.53,0.26
14,53,South,SME,1171364.03,Business,8,396789.33,5263.86,21482.69,24037.37,0,55,0.43,13553.12,0.38
15,57,South,Retail,561762.67,Current,7,431210.48,56478.82,17365.21,26988.91,0,504,0.76,29820.88,0.36
16,41,Central,Retail,953332.57,Savings,1,569297.93,19056.75,4339.45,28251.73,0,373,0.37,-2238.28,0.37
17,20,Central,Retail,956042.48,Business,16,2076.52,31093.98,6865.52,26064.07,0,361,0.24,28477.88,0.32
18,39,Central,Retail,178269.8,Savings,6,260708.77,35496.12,5396.9,8840.24,0,7,0.73,3395.91,0.62
19,19,South,Retail,1930540.69,Savings,7,518279.72,71305.11,15129.29,10192.69,0,258,0.42,40682.08,0.16
20,41,South,Corporate,1070435.86,Savings,12,722216.1,32906.42,12640.14,12968.41,0,479,0.98,14549.72,0.85
21,61,South,Retail,2064340.72,Savings,9,174156.69,11618.0,21690.29,4437.11,0,510,0.35,10485.46,0.81
22,47,South,Retail,2133352.6,Current,11,546881.17,41945.2,23821.55,961.49,0,260,0.92,41248.89,0.48
23,55,Central,Retail,569385.43,Current,10,714459.68,77036.64,10181.01,26112.91,0,154,0.93,-2242.08,0.85
24,19,Central,Retail,1660516.03,Business,1,444627.66,48614.85,12708.13,16757.62,0,492,0.24,16813.48,0.25
25,38,South,Retail,1207090.42,Current,18,27081.13,78670.98,24290.76,18379.07,1,283,0.8,15350.19,0.02
26,50,North,Retail,2206384.01,Current,4,449268.16,67288.58,6978.35,27831.56,1,63,0.43,10664.02,0.62
27,29,Central,Corporate,578564.66,Savings,5,296444.89,2877.26,19830.53,20054.07,0,450,0.92,45146.49,0.46
28,39,South,Retail,1710642.34,Savings,9,929649.61,52671.97,5708.47,20818.35,1,117,0.45,36301.06,0.57
29,61,South,Corporate,1538992.7,Current,17,124613.39,22941.35,17068.36,23672.97,0,573,0.74,-1484.23,0.9
30,42,South,SME,773488.62,Savings,3,652475.96,44769.35,6415.03,3755.55,0,493,0.47,34307.81,0.97
31,66,South,Retail,384672.21,Business,16,52719.77,22347.62,22104.96,10996.82,0,411,0.23,24001.45,0.63
